Email;Address;dominio;Tec;Avg. Session Length;Time on App;Time on Website;Length of Membership;price
lucastaylor@yahoo.com;Munich;yahoo;PC;33,94624061993669;10,9839767277944;37,9514894585739;3,0507129732180167;642,0
theresamitchell@martin-chambers.biz;Munich;Otro;Smartphone;31,82797905546526;12,461147444665416;37,42899736939191;2,9747368150832405;422,0
john85@rodriguez.info;Ausburgo;Otro;PC;31,128090049616628;13,278956228597716;37,38718052656558;4,626075291951958;434,0
victoriajohnson@gmail.com;Berlin;gmail;Iphone;33,45430192604019;11,016755636715029;37,6373109611636;4,137000388171067;555,0
ecruz@yahoo.com;Berlin;yahoo;Smartphone;31,912075929200608;11,792971821961505;36,257819118501914;2,3951681299791368;575,0
kristina69@gmail.com;Berlin;gmail;Smartphone;32,43977025334846;12,4241304114395;38,94882502753235;4,9203184061183185;566,0
alvareznancy@lucas.biz;Munich;Otro;Smartphone;33,87103787934198;12,026925339755058;34,47687762925054;5,493507201364199;500,0
kelly24@lewis.info;Ausburgo;Otro;Smartphone;34,14496898723948;12,902664889103926;36,61119877576035;2,2239934582520533;497,0
jordandavid@gmail.com;Munich;gmail;PC;33,66661568345138;10,9857637851215;36,35250276938114;0,9364975973183265;526,0
jill33@allen.com;Ausburgo;Otro;PC;33,540976791782235;11,851890834942719;37,424547922263905;1,7677307075942403;468,0
tammyjones@griffin.com;Munich;Otro;PC;33,191570884444964;9,846124908736233;36,876313233417314;3,8066709485629935;449,0
schmidtdenise@hotmail.com;Munich;hotmail;PC;33,108336148346;12,892374513653694;36,52738830431376;4,5941168646031905;376,0
vickie90@lee-wilson.com;Frankfurt;Otro;Smartphone;32,82030994541536;11,634893252550466;35,36862632536302;4,1245852967146535;471,0
wellsjuan@schroeder.com;Munich;Otro;Smartphone;31,818616566769066;11,226545663510619;35,669935165958194;3,7558693892629655;428,0
tracy79@wheeler.net;Frankfurt;Otro;Smartphone;32,2463499961189;11,30555143041474;37,133126759376324;1,7073897286757314;416,0
ryanwerner@freeman.biz;Berlin;Otro;Smartphone;33,87936082480498;11,584782999535266;37,087926070983805;3,71320920294043;498,0
randywhite@armstrong.biz;Ausburgo;Otro;Smartphone;32,78494023263413;12,451200012438312;36,66579136924871;3,5358024678738276;477,0
garciakevin@gmail.com;Berlin;gmail;Iphone;33,45961931752967;12,664390524735163;36,36684324701071;1,7269620431885113;526,0
whitetyler@anderson-avery.com;Munich;Otro;PC;34,08026009173408;11,591439703136587;36,456898410524325;4,652854446136777;508,0
karenosborne@yahoo.com;Munich;yahoo;Smartphone;32,68624509039022;12,63857212219212;36,097220934711;4,297737481971207;628,0
larrywest@davis.com;Munich;Otro;PC;33,71065305912268;13,664747875183542;37,72438615760942;1,3626740800013843;461,0
veronicapruitt@hotmail.com;Frankfurt;hotmail;Iphone;33,24850620315415;11,656592033851751;36,54860515461888;3,3634113937857375;369,0
efreeman@moore.com;Munich;Otro;Iphone;32,200798643965314;12,276981712741968;38,23260622710401;3,3164647447029107;468,0
djohnson@hotmail.com;Munich;hotmail;Smartphone;32,19249882778649;13,32541218598226;36,897294609068695;5,0499274746524065;360,0
acontreras@hotmail.com;Ausburgo;hotmail;Smartphone;33,5477479443078;10,735362917985055;37,45837473122323;3,8634254422050347;376,0
davisbriana@gmail.com;Frankfurt;gmail;Smartphone;33,14423399987652;11,737040635272379;37,93518904595916;2,190132185380053;548,0
david28@wallace-hill.org;Munich;Otro;PC;33,3841105711181;12,677401437121034;35,622530591605994;3,680847338174777;481,0
john85@martin-morgan.com;Berlin;Otro;Iphone;33,75499472831927;12,06415663219932;37,271221692501925;3,9705556280753487;494,0
baldwinbryan@estrada-silva.biz;Ausburgo;Otro;PC;33,304431285296005;12,378490222808672;38,76429717446252;3,8438489214952876;474,0
gbarnes@gmail.com;Munich;gmail;PC;31,86483254809873;13,44340598514625;36,87831536782346;2,361086946869883;511,0
hunterlucas@gmail.com;Berlin;gmail;Iphone;33,58294683702328;12,761531278201021;36,90818962373682;2,4793398232086954;533,0
richard16@boyer-pratt.com;Berlin;Otro;PC;31,809300316679188;11,634668217942473;36,182539282355286;5,113319474870622;473,0
christophermorrison@mcguire-carter.biz;Frankfurt;Otro;Smartphone;34,55528258670921;11,777772039564965;37,97982686004657;3,7842730870783043;528,0
enash@gmail.com;Frankfurt;gmail;PC;31,721652360509037;11,75502370305383;36,765722357858394;1,8473704233395085;492,0
jennifer24@hotmail.com;Munich;hotmail;Iphone;34,43642583784763;13,325469096138633;36,76860309148005;3,3712581132239197;393,0
